"year","observed_total_mm","complete_months","unavailable_months","partial_months","annual_total_mm","year_status"
1983,1866.5,12,0,0,1866.5,"complete"
1984,2686.7,12,0,0,2686.7,"complete"
1985,1483.9,12,0,0,1483.9,"complete"
1986,2536.1,12,0,0,2536.1,"complete"
1987,2102.8,12,0,0,2102.8,"complete"
1988,2598.6,12,0,0,2598.6,"complete"
1989,2469.3,12,0,0,2469.3,"complete"
1990,1523.8,12,0,0,1523.8,"complete"
1991,1877,12,0,0,1877,"complete"
1992,2260.8,12,0,0,2260.8,"complete"
1993,2168.7,12,0,0,2168.7,"complete"
1994,1941.8,12,0,0,1941.8,"complete"
1995,2332.6,12,0,0,2332.6,"complete"
1996,2418,12,0,0,2418,"complete"
1997,1118.9,12,0,0,1118.9,"complete"
1998,2623.1,12,0,0,2623.1,"complete"
1999,2134,12,0,0,2134,"complete"
2000,2370.5,12,0,0,2370.5,"complete"
2001,2783.1,12,0,0,2783.1,"complete"
2002,1748.9,12,0,0,1748.9,"complete"
2003,2391.2,12,0,0,2391.2,"complete"
2004,2136.4,12,0,0,2136.4,"complete"
2005,1930.7,12,0,0,1930.7,"complete"
2006,2753.2,12,0,0,2753.2,"complete"
2007,2886.2,12,0,0,2886.2,"complete"
2008,2325.1,12,0,0,2325.1,"complete"
2009,1920.9,12,0,0,1920.9,"complete"
2010,2075.1,12,0,0,2075.1,"complete"
2011,2524.2,12,0,0,2524.2,"complete"
2012,2159.9,12,0,0,2159.9,"complete"
2013,2748.4,12,0,0,2748.4,"complete"
2014,1538.4,12,0,0,1538.4,"complete"
2015,1266.8,12,0,0,1266.8,"complete"
2016,1956.5,12,0,0,1956.5,"complete"
2017,2054.6,12,0,0,2054.6,"complete"
2018,1708.2,12,0,0,1708.2,"complete"
2019,1367.5,12,0,0,1367.5,"complete"
2020,1886.6,12,0,0,1886.6,"complete"
2021,2809.6,12,0,0,2809.6,"complete"
2022,2207.8,12,0,0,2207.8,"complete"
2023,2411.2,12,0,0,2411.2,"complete"
2024,2432,12,0,0,2432,"complete"
2025,2833.5,12,0,0,2833.5,"complete"
2026,614.8,5,7,0,,"partial_or_unavailable"
